pH,EC,CO3,HCO3,Cl,SO4,NO3,Ca,Mg,Na,K,F,tds,Actual_WQI,Predicted_WQI,Calculated_WQI,Classification
8.27,747.0,0.0,92.0,124.0,93.0,2.6,50.0,23.0,71.0,4.6,1.02,448,187.35018,187.54775897600004,203.58100000000002,Poor (Needs purification before use)
7.6,1305.0,0.0,184.0,159.0,39.0,43.0,76.0,45.0,20.0,2.3,0.05,848,317.8212,328.35561058899987,377.78000000000003,"Very Poor (Not suitable for drinking, high risk)"
7.7,620.0,0.0,125.0,27.0,77.0,39.0,67.0,10.0,32.0,1.85,0.68,403,162.4964,164.527531998,186.61,Moderate (Filtration required)
7.76,2120.0,0.0,415.0,312.0,260.0,6.0,40.0,61.0,296.0,3.5,0.99,1232,532.35764,524.3914003200001,525.428,Highly Polluted (Not for any domestic use)
7.7,522.0,0.0,59.0,60.0,21.0,33.0,30.0,12.0,36.0,1.51,0.67,339,130.36236,134.27026127999997,150.51,Moderate (Filtration required)
7.86,1256.0,0.0,405.0,135.0,59.0,22.0,60.0,55.0,105.0,9.8,0.75,753,319.50184,323.1888223360001,338.058,"Very Poor (Not suitable for drinking, high risk)"
8.335,783.0,24.0,165.0,97.0,12.0,66.0,72.0,29.0,39.0,2.6,0.6,509,203.62679,207.52596000000003,236.40050000000002,Poor (Needs purification before use)
7.92,65.01,0.0,42.73,10.635,4.19,0.0,4.0,7.28,4.5,4.17,0.64,36,19.44983,19.728033928,20.16,Excellent (Safe for drinking)
8.4,8145.0,36.0,232.0,1598.0,1800.0,8.22,86.0,210.0,1516.0,15.0,0.45,1629,1620.83406,1570.85429173,742.92,Highly Polluted (Not for any domestic use)
8.2,880.0,0.0,366.0,35.5,22.0,63.0,46.0,57.0,33.0,8.0,0.22,572,235.6568,234.641283226,262.16,Poor (Needs purification before use)
7.7,1391.0,0.0,217.0,203.0,19.0,27.0,64.0,44.0,78.0,1.22,0.09,904,340.27112,344.07047244399996,396.31,"Very Poor (Not suitable for drinking, high risk)"
7.93,798.0,0.0,287.0,58.0,20.0,62.0,106.0,26.0,22.0,0.6,0.5,597,226.10662,225.99786399999994,280.779,Poor (Needs purification before use)
7.6,220.0,0.0,84.0,11.8,11.7,19.5,25.0,3.2,13.6,8.3,0.0,132,59.9179,56.97489700999999,63.540000000000006,Good (Minor treatment needed)
7.8,670.0,0.0,188.0,52.0,38.0,65.0,42.0,22.0,63.0,1.8,0.12,436,180.532,178.28568450000006,195.94,Moderate (Filtration required)
7.96,757.0,0.0,353.8,21.3,33.3,1.2,48.0,28.8,57.0,6.5,0.9,489,200.47644,201.66238515300003,221.02800000000002,Poor (Needs purification before use)
7.99,628.0,0.0,329.0,36.0,17.0,4.0,24.0,7.0,108.0,7.2,0.86,421,174.70206,172.98022812300002,180.097,Moderate (Filtration required)
8.16,1875.0,0.0,512.4,226.9,104.0,88.0,108.0,58.4,167.0,42.9,0.86,608,409.20704,405.4758137999999,295.56800000000004,Poor (Needs purification before use)
8.0,1540.0,0.0,134.0,284.0,180.0,104.0,128.0,71.0,86.0,1.1,0.22,1031,409.2036,411.359546108,474.5,"Severely Contaminated (Avoid drinking, high health risk)"
7.97,1120.0,0.0,403.0,163.0,38.0,4.6,100.0,54.0,62.0,13.0,0.17,750,300.95638,298.89744019999995,348.591,"Very Poor (Not suitable for drinking, high risk)"
8.03,458.6,0.0,79.3,63.8,7.6,59.1,36.0,8.5,38.3,19.9,0.0,56,88.40892,87.95742761999998,38.159,Excellent (Safe for drinking)
7.48,180.0,0.0,31.0,21.0,24.0,11.0,18.0,2.0,10.0,8.8,0.1,114,48.55452,47.259862404000025,53.844,Good (Minor treatment needed)
7.55,1246.0,0.0,424.0,132.0,42.0,27.0,84.0,45.0,97.0,5.9,0.35,747,318.0591,320.113311744,339.765,"Very Poor (Not suitable for drinking, high risk)"
8.01,750.6,0.0,329.4,53.2,48.7,0.7,30.0,43.7,63.0,15.3,0.19,501,204.00774,202.1357709179999,224.913,Poor (Needs purification before use)
7.65,1965.0,0.0,421.0,397.0,29.0,16.0,144.0,17.0,248.0,3.7,0.43,295,365.9953,367.7393538,168.595,Moderate (Filtration required)
6.7,1056.0,0.0,274.59,155.98,36.0,62.0,84.0,48.608,55.2,1.7,0.3,633,271.033052,272.34992182800016,294.99240000000003,Poor (Needs purification before use)
7.83,1282.0,0.0,250.0,270.0,23.0,35.0,166.0,28.0,49.0,1.3,0.68,597,297.85242,300.82663719999965,299.349,Poor (Needs purification before use)
7.4,1336.0,0.0,250.0,227.0,105.0,47.0,40.0,39.0,178.0,6.0,1.0,801,341.0866,342.1752653960001,346.32000000000005,"Very Poor (Not suitable for drinking, high risk)"
7.67,280.0,0.0,96.0,23.8,8.8,3.1,21.0,10.3,24.5,3.8,0.1,168,71.65508,72.65709044199997,78.891,Good (Minor treatment needed)
7.56,1297.0,0.0,171.0,248.0,152.0,64.0,100.0,36.0,125.0,1.3,0.33,869,349.13864,348.62503840700026,390.668,"Very Poor (Not suitable for drinking, high risk)"
7.59,701.0,0.0,173.0,101.0,42.0,12.0,34.0,17.0,89.0,1.5,0.56,456,183.55926,184.32562676199993,199.977,Moderate (Filtration required)
7.35,765.0,0.0,262.0,87.0,15.0,30.0,64.0,16.0,71.0,2.2,0.17,597,217.6851,216.15716160000002,265.005,Poor (Needs purification before use)
7.39,529.0,0.0,170.856,21.24,52.3,25.6,34.0,29.1648,13.54,2.9,0.0,343,139.9540752,139.47256780100008,158.36644000000004,Moderate (Filtration required)
8.3,1850.0,78.0,232.0,256.0,132.0,88.0,26.0,56.0,178.0,214.0,1.16,1110,465.1482,466.4747940859999,471.09000000000003,"Severely Contaminated (Avoid drinking, high health risk)"
7.14,615.0,0.0,250.182,60.18,15.8,2.6,42.0,25.5192,29.65,3.56,0.25,399,161.8369588,164.149576968,181.99776000000003,Moderate (Filtration required)
7.22,954.0,0.0,348.0,75.0,65.0,7.63,42.0,58.0,51.0,14.0,0.35,620,250.75517,253.280218282,280.166,Poor (Needs purification before use)
7.65,1304.0,0.0,299.0,142.0,234.0,12.0,96.0,68.0,108.0,14.0,1.1,782,341.5881,335.137636175,364.295,"Very Poor (Not suitable for drinking, high risk)"
7.41,190.0,0.0,12.7,31.8,4.0,8.4,7.0,2.6,19.1,7.7,0.0,264,67.72724,71.66792834000002,110.703,Moderate (Filtration required)
7.8,1278.0,0.0,366.0,170.0,85.0,94.0,72.0,56.0,136.0,1.2,0.33,304,272.6584,263.1209151000001,162.34,Moderate (Filtration required)
8.07,1789.0,0.0,354.0,319.0,106.0,55.0,40.0,66.0,260.0,2.5,2.0,1199,473.09198,474.3053464840001,513.821,Highly Polluted (Not for any domestic use)
7.64,1492.0,0.0,421.0,184.3,67.4,44.5,46.1,80.2,99.6,2.5,0.56,620,336.35776,336.04767780000003,288.182,Poor (Needs purification before use)
8.18,1825.0,0.0,674.0,153.0,75.0,68.0,16.0,16.0,370.0,1.8,2.11,1095,477.38032,473.0157173600002,450.05400000000003,"Severely Contaminated (Avoid drinking, high health risk)"
7.82,1265.0,0.0,378.0,185.0,82.85,34.0,104.0,78.0,62.0,3.2,0.65,848,340.82788,338.3704172959999,396.1460000000001,"Very Poor (Not suitable for drinking, high risk)"
7.72,745.0,0.0,190.0,99.0,24.0,49.0,36.0,16.0,92.0,1.3,1.15,447,192.11288,192.05113373000006,196.716,Moderate (Filtration required)
8.0,310.0,0.0,98.0,49.0,71.0,3.0,28.0,32.0,15.0,3.0,0.35,186,87.42,82.57610489759998,94.80000000000001,Good (Minor treatment needed)
8.22,1487.0,0.0,659.0,85.0,140.0,4.0,16.0,80.0,210.0,1.4,2.23,996,408.39948,399.9121295280001,429.66600000000005,"Severely Contaminated (Avoid drinking, high health risk)"
7.9,1800.0,0.0,732.0,184.0,4.9,43.0,56.0,56.0,240.0,3.5,3.08,1037,458.5574,453.5135461419997,450.77000000000004,"Severely Contaminated (Avoid drinking, high health risk)"
7.41,50.0,0.0,12.2,7.1,4.8,2.9,6.0,1.2,2.9,0.3,0.0,608,96.65974,97.04526419999993,247.58300000000003,Poor (Needs purification before use)
7.4,1302.0,0.0,524.8,134.7,57.6,4.6,112.0,29.2,128.0,4.9,0.27,1181,396.7818,395.4221959999997,516.98,Highly Polluted (Not for any domestic use)
8.3,538.0,54.0,360.0,86.0,25.0,1.0,42.0,42.0,60.0,12.0,0.57,344,160.4732,147.19555905399997,165.29,Moderate (Filtration required)
7.82,1151.0,0.0,363.0,116.0,7.0,90.0,146.0,28.0,37.0,1.6,0.15,690,296.95608,297.9530144,330.546,"Very Poor (Not suitable for drinking, high risk)"
7.4,1153.0,0.0,291.0,88.0,83.0,44.0,90.0,21.0,86.0,1.31,0.41,749,298.28896,297.4159132369999,335.12000000000006,"Very Poor (Not suitable for drinking, high risk)"
7.28,1119.0,0.0,317.0,170.0,14.0,41.0,40.0,49.0,116.0,4.4,0.46,750,295.51832,296.6241795799999,328.884,"Very Poor (Not suitable for drinking, high risk)"
7.68,1291.0,0.0,549.0,78.0,43.0,50.0,20.0,91.0,92.0,12.0,0.53,1126,384.65052,385.3245742000001,486.004,"Severely Contaminated (Avoid drinking, high health risk)"
7.6,750.0,0.0,256.0,67.0,50.0,24.0,52.0,22.0,73.0,2.32,0.63,503,202.99832,201.54713717599992,225.68,Poor (Needs purification before use)
6.81,96.0,0.0,30.5,5.68,1.8,5.04,7.2144,0.16,4.3,3.02,0.0,57,24.7352208,25.676751768000003,27.055320000000002,Excellent (Safe for drinking)
7.4,1072.0,0.0,366.12,106.35,29.0,65.8,84.0,34.0256,81.8,3.4,1.0,643,278.9181624,278.5330031040001,294.82768,Poor (Needs purification before use)
7.53,1164.0,0.0,457.5,81.7,68.1,27.6,66.0,60.8,63.6,20.7,0.23,444,265.30122,266.82443159999985,217.899,Poor (Needs purification before use)
7.3,2830.0,0.0,317.0,596.0,137.0,213.0,192.0,107.0,224.0,3.5,0.61,1667,713.1652,711.4341638199999,758.6900000000002,Highly Polluted (Not for any domestic use)
7.4,103.0,0.0,26.84,14.2,2.62,9.3,10.4208,1.9456,4.52,1.64,0.0,61,27.461268,26.922034380000003,30.32992,Excellent (Safe for drinking)
7.98,172.9,0.0,103.78,17.73,6.2278,0.3001,14.01,6.06,20.03,1.46,0.38,103,48.7373879,49.388013113000014,49.615,Excellent (Safe for drinking)
7.69,586.0,0.0,263.0,12.0,17.0,20.0,48.0,24.0,23.0,12.0,0.24,351,151.70266,154.03493609199995,164.307,Moderate (Filtration required)
6.97,277.0,0.0,12.21,28.36,42.85,4.65,18.01,12.13,3.72,5.19,1.2,166,66.94477,71.40885740999998,77.533,Good (Minor treatment needed)
7.72,719.0,0.0,372.0,78.0,30.0,2.0,26.0,24.0,85.0,36.0,0.19,460,200.01108,195.21067600700005,201.316,Poor (Needs purification before use)
8.0,1392.0,0.0,549.0,107.0,158.0,65.0,52.0,75.0,141.0,3.0,1.27,608,343.295,329.98586119999976,283.70000000000005,Poor (Needs purification before use)
7.61,712.0,0.0,201.0,72.0,65.0,18.0,46.0,32.0,47.0,4.2,0.1,427,182.89274,183.66370771400005,196.483,Moderate (Filtration required)
8.2,346.0,0.0,140.0,32.0,38.0,7.0,64.0,7.0,16.0,4.0,1.54,207,95.0158,93.45941872399997,106.56,Moderate (Filtration required)
8.0,825.0,0.0,275.0,70.9,38.0,71.0,36.0,29.0,92.0,2.0,0.11,536,224.0154,218.59665988299994,236.3,Poor (Needs purification before use)
7.83,86.7,0.0,30.5,10.6,0.0,0.6,16.0,0.0,1.1,1.0,0.09,62,24.29352,25.66203540399999,31.949,Excellent (Safe for drinking)
7.97,822.0,0.0,244.08,113.28,25.62,4.9,60.0,35.2408,30.6,4.6,0.0,534,211.7254632,214.73752926800003,244.56324,Poor (Needs purification before use)
7.65,724.0,0.0,231.8,113.6,7.3,4.9,50.0,40.1,30.1,3.2,0.74,277,160.1496,166.0951904999999,140.125,Moderate (Filtration required)
6.7,6701.0,0.0,610.0,1830.0,255.0,23.0,688.0,56.0,625.0,22.29,0.15,4490,1726.15004,1702.9199606499983,2021.21,"Toxic Water (Unsafe for any use, needs extreme treatment)"
6.8,4350.0,0.0,195.264,1205.3,165.0,33.6,324.0,72.912,441.4,1.7,0.7,2610,1059.475952,1080.6192238600004,1165.1136,Extremely Polluted (Only suitable for industrial use)
7.45,1116.0,0.0,512.4,70.9,48.0,8.0,40.0,48.0,125.0,4.3,0.86,489,265.7219,261.73732620000004,224.23500000000004,Poor (Needs purification before use)
7.4,1328.0,0.0,341.712,191.43,71.0,43.8,80.0,87.4944,49.1,5.7,0.9,796,336.3444496,341.557003267,370.86832000000004,"Very Poor (Not suitable for drinking, high risk)"
7.94,1856.0,0.0,110.0,327.0,94.0,248.0,44.0,63.0,231.0,3.6,0.73,1113,472.92576,465.3873155279998,479.6820000000001,"Severely Contaminated (Avoid drinking, high health risk)"
7.59,1229.0,0.0,376.0,114.0,26.0,125.0,86.0,43.0,99.0,0.2,1.02,737,321.09246,316.9599053269999,335.777,"Very Poor (Not suitable for drinking, high risk)"
7.95,751.0,0.0,323.4,31.9,37.8,10.7,40.1,32.8,51.2,1.5,0.51,3663,652.8881,576.5947808,1489.455,Extremely Polluted (Only suitable for industrial use)
7.8,410.0,0.0,137.0,50.0,33.0,17.0,27.0,28.0,13.0,2.8,0.32,267,111.268,108.14062032,125.64000000000001,Moderate (Filtration required)
7.78,367.0,0.0,183.0,14.0,17.0,0.0,32.0,22.0,11.0,3.4,0.0,220,96.31032,97.74457117400003,106.534,Moderate (Filtration required)
7.71,1177.0,0.0,445.3,124.1,40.1,4.9,48.0,52.2,88.8,12.2,0.21,223,231.10084,233.13816016400008,121.57300000000001,Moderate (Filtration required)
7.2,1111.0,0.0,488.0,85.0,30.0,8.0,68.0,49.0,85.0,0.88,0.27,744,297.84008,299.1314872999998,334.86000000000007,"Very Poor (Not suitable for drinking, high risk)"
8.08,442.0,0.0,237.9,21.3,0.0,0.5,6.0,7.3,90.7,0.5,5.95,166,103.16142,113.16283863999998,72.81400000000001,Good (Minor treatment needed)
7.49,758.0,0.0,311.0,60.0,22.0,15.0,56.0,20.0,44.0,72.0,0.34,454,199.01486,196.63376750000006,206.64700000000005,Poor (Needs purification before use)
7.42,3620.0,0.0,549.1,631.9,289.5,69.4,108.0,155.7,332.8,18.1,1.58,1126,749.11258,745.0575669999998,531.736,Highly Polluted (Not for any domestic use)
7.25,949.0,0.0,451.4,46.2,38.2,1.2,40.0,58.3,55.8,9.7,0.2,84,175.9626,174.56423069199988,65.265,Good (Minor treatment needed)
7.1,980.0,0.0,390.528,85.08,44.5,31.9,92.0,38.8864,50.4,1.5,1.0,588,256.3898936,253.91143040400001,276.59592000000004,Poor (Needs purification before use)
7.41,1245.0,0.0,409.0,124.0,48.0,95.0,150.0,28.0,75.0,0.0,0.63,747,328.03174,322.87905682400003,354.423,"Very Poor (Not suitable for drinking, high risk)"
7.53,151.0,0.0,31.0,35.0,0.0,0.0,4.0,10.0,9.0,1.0,0.67,79,36.13242,39.15334779299999,38.059000000000005,Excellent (Safe for drinking)
7.64,1820.0,0.0,573.0,188.0,64.0,248.0,82.0,120.0,95.0,36.5,0.74,1092,488.19796,471.3380276999998,499.692,"Severely Contaminated (Avoid drinking, high health risk)"
7.66,724.0,0.0,366.0,64.0,41.0,9.0,52.0,54.0,42.0,0.0,0.13,485,202.54724,197.74829754499999,228.098,Poor (Needs purification before use)
7.4,1107.0,0.0,305.0,121.0,128.0,51.0,92.0,39.0,87.0,8.0,0.5,664,292.0406,286.142184056,307.12000000000006,"Very Poor (Not suitable for drinking, high risk)"
7.41,800.0,0.0,354.0,71.0,47.0,9.4,62.0,41.0,44.0,2.0,0.55,493,213.04494,210.014787567,230.32300000000004,Poor (Needs purification before use)
8.0,1320.0,9.0,323.0,252.0,12.0,19.0,34.0,58.0,150.0,4.3,0.16,858,340.0078,342.35090986299997,373.20000000000005,"Very Poor (Not suitable for drinking, high risk)"
7.84,320.0,0.0,176.9,14.2,5.4,3.2,20.04,25.536,8.86,2.92,0.14,192,84.878124,86.00643269999996,92.82480000000001,Good (Minor treatment needed)
7.5,1052.0,0.0,507.0,55.0,17.0,13.0,138.0,22.0,43.0,2.1,0.41,878,309.5046,307.1596034000001,401.45000000000005,"Severely Contaminated (Avoid drinking, high health risk)"
7.0,120.0,0.0,41.48,9.94,7.5,3.1,7.2144,4.3776,6.61,1.33,0.0,72,31.4688412,31.751897583999998,34.3776,Excellent (Safe for drinking)
7.9,694.0,0.0,196.0,45.0,40.0,4.0,33.0,23.0,53.0,2.1,0.14,451,175.9742,179.44870956100004,199.57000000000002,Moderate (Filtration required)
7.29,708.1,0.0,274.6,67.4,23.9,10.1,70.1,24.3,32.7,2.4,1.03,300,164.68626,171.51581319999994,150.507,Moderate (Filtration required)
7.76,1005.0,0.0,122.0,120.5,67.8,71.2,56.1,43.7,40.9,0.7,0.44,460,226.70034,239.3016158320001,216.268,Poor (Needs purification before use)
6.73,170.0,0.0,80.0,14.0,0.0,0.4,12.0,5.0,14.9,1.4,0.0,608,116.98912,117.10004219999993,250.31900000000002,Poor (Needs purification before use)
7.5,8810.0,0.0,366.0,2624.0,440.0,30.0,100.0,420.0,1125.0,42.0,0.63,5903,2244.391,2314.4366191599993,2519.4500000000003,"Toxic Water (Unsafe for any use, needs extreme treatment)"
8.0,1530.0,0.0,190.0,153.0,39.0,42.0,69.0,34.0,34.0,1.27,1.53,995,364.41712,383.6564701000001,431.29999999999995,"Severely Contaminated (Avoid drinking, high health risk)"
7.4,1210.0,0.0,433.242,141.8,55.5,11.3,92.0,29.1648,118.3,8.8,0.9,726,313.2127912,314.1528167400002,328.9694400000001,"Very Poor (Not suitable for drinking, high risk)"
7.25,870.0,0.0,245.0,128.0,65.0,9.0,71.0,37.0,55.0,3.0,0.78,522,223.7205,223.756514417,243.37500000000003,Poor (Needs purification before use)
8.0,874.0,0.0,297.0,65.0,5.0,5.0,63.0,22.0,28.0,5.8,0.01,568,220.3288,230.68359040000013,255.10000000000002,Poor (Needs purification before use)
7.5,395.0,0.0,36.0,27.0,14.0,46.0,10.0,11.0,17.0,3.44,0.3,257,98.25064,104.28997006120002,111.35000000000001,Moderate (Filtration required)
7.71,451.0,0.0,43.0,121.0,3.0,13.0,28.0,15.0,30.0,26.0,0.89,262,111.25494,111.18799618399993,120.01300000000002,Moderate (Filtration required)
7.2,970.0,0.0,242.0,99.0,126.0,18.0,76.0,10.0,92.0,44.0,0.15,614,257.5448,251.77571378799993,273.56,Poor (Needs purification before use)
8.71,901.0,36.0,126.0,145.0,59.0,10.0,10.0,17.0,127.0,16.0,0.36,540,221.46894,225.56347636400002,226.713,Poor (Needs purification before use)
7.6,2490.0,0.0,415.0,624.0,16.0,10.0,144.0,124.0,171.0,2.0,0.54,1344,591.1574,582.0692719440003,620.28,Highly Polluted (Not for any domestic use)
7.5,735.0,0.0,383.0,17.0,9.0,3.0,50.0,34.0,45.0,0.5,0.52,441,189.974,194.2940572,203.85,Poor (Needs purification before use)
7.77,1236.0,0.0,530.9,120.5,8.3,23.0,102.2,46.2,71.6,8.9,0.25,1075,367.49858,362.67369820000005,476.851,"Severely Contaminated (Avoid drinking, high health risk)"
7.63,1691.0,0.0,341.7,187.9,160.4,65.8,44.1,87.5,104.5,4.4,0.98,1575,503.04272,499.87273701000004,671.769,Highly Polluted (Not for any domestic use)
7.2,5610.0,0.0,244.0,1650.0,164.0,8.0,576.0,190.0,384.0,18.0,0.91,1126,1045.0128,1058.7422917999995,682.36,Highly Polluted (Not for any domestic use)
8.23,271.0,0.0,104.55,18.5,19.95,2.06,16.0,12.15,21.3,4.38,0.0,176,72.83523,72.84844501199997,81.314,Good (Minor treatment needed)
7.02,1891.0,0.0,250.2,390.0,90.9,103.4,136.3,87.5,105.7,0.6,1.08,836,432.31158,440.65528360000013,403.646,"Severely Contaminated (Avoid drinking, high health risk)"
7.64,989.7,0.0,280.7,78.0,41.8,86.8,18.0,71.7,39.3,0.6,0.68,620,255.67796,258.6529290200001,277.202,Poor (Needs purification before use)
7.14,260.0,0.0,104.0,21.0,5.4,20.0,30.0,6.0,8.1,1.2,0.64,156,69.38966,68.28976726799999,75.342,Good (Minor treatment needed)
7.74,690.0,0.0,451.0,21.0,0.0,0.0,52.0,39.0,50.0,2.7,0.26,414,186.43256,184.60172817000006,195.22200000000004,Moderate (Filtration required)
7.8,1055.0,0.0,195.0,150.0,78.0,32.0,72.0,44.0,65.0,6.9,0.14,686,271.7106,274.19339864399996,311.54,"Very Poor (Not suitable for drinking, high risk)"
7.7,1134.0,0.0,323.0,107.0,150.0,27.0,36.0,28.0,170.0,5.0,1.35,608,287.5728,281.945115416,264.71000000000004,Poor (Needs purification before use)
7.76,530.0,0.0,177.0,70.0,18.0,2.0,44.0,13.0,44.0,2.7,0.46,597,175.76384,177.5557839,258.228,Poor (Needs purification before use)
7.29,1510.0,0.0,451.5,205.6,70.0,76.3,92.0,46.2,142.8,1.5,0.52,1181,431.92296,428.61205400000006,516.047,Highly Polluted (Not for any domestic use)
8.07,858.0,0.0,317.0,82.0,10.0,40.0,110.0,17.0,38.0,2.4,0.25,558,228.74338,227.74315535599996,263.721,Poor (Needs purification before use)
7.46,678.0,0.0,232.0,35.0,42.0,39.0,87.0,12.0,24.0,1.9,0.35,441,181.22984,180.51610022300014,208.338,Poor (Needs purification before use)
7.5,2201.0,0.0,125.0,288.0,12.1,7.0,253.0,13.0,79.0,2.6,0.23,1431,513.7228,543.3083907069998,654.4499999999999,Highly Polluted (Not for any domestic use)
8.06,1566.0,0.0,475.8,188.2,99.2,23.1,118.0,41.3,121.1,44.2,1.37,396,324.89014,315.20191740000007,208.608,Poor (Needs purification before use)
7.6,1500.0,0.0,352.0,300.0,14.0,5.0,106.0,54.0,109.0,15.0,0.56,975,384.3074,387.95402164700005,440.28,"Severely Contaminated (Avoid drinking, high health risk)"
7.85,1311.0,0.0,311.2,131.2,72.3,41.6,50.1,58.3,61.7,2.3,0.73,668,306.1578,313.7676813999999,302.075,"Very Poor (Not suitable for drinking, high risk)"
7.6,1410.0,0.0,565.0,125.0,12.0,58.0,61.0,88.0,85.0,2.4,0.06,917,372.7238,371.789547542,413.78,"Severely Contaminated (Avoid drinking, high health risk)"
7.89,4401.0,0.0,305.0,1065.0,490.0,80.0,112.0,90.0,650.0,88.0,0.35,2949,1159.43246,1134.1910852,1242.567,Extremely Polluted (Only suitable for industrial use)
7.8,1314.0,0.0,307.0,168.0,79.0,69.0,68.0,24.0,171.0,5.7,0.48,788,337.5724,338.748151488,345.14000000000004,"Very Poor (Not suitable for drinking, high risk)"
7.07,1654.0,0.0,366.0,347.9,123.0,0.5,128.0,60.8,174.3,8.2,0.78,1126,445.07638,440.73936232000005,509.161,Highly Polluted (Not for any domestic use)
7.2,1215.0,0.0,340.0,140.0,10.0,95.0,118.0,50.0,38.0,12.1,0.35,729,310.5824,313.37445776400006,344.16,"Very Poor (Not suitable for drinking, high risk)"
7.65,727.0,0.0,244.0,99.0,35.0,6.2,92.0,4.9,56.0,7.7,0.5,487,196.705,196.70111004000006,226.165,Poor (Needs purification before use)
7.3,1510.0,0.0,439.344,170.16,57.0,126.8,64.0,68.0512,138.5,2.0,0.3,906,393.0919288,387.489927839,404.20536000000004,"Severely Contaminated (Avoid drinking, high health risk)"
6.1,233.0,0.0,61.02,28.36,14.0,27.3,20.0,14.5824,9.4,0.7,0.2,139,62.4308696,62.710657735000005,67.80472,Good (Minor treatment needed)
8.0,525.0,0.0,262.0,18.0,11.0,3.0,28.0,21.0,44.0,7.6,0.15,277,131.2526,132.8902158,127.90000000000002,Moderate (Filtration required)
7.67,560.0,0.0,268.0,35.0,12.0,0.0,24.0,17.0,66.0,8.4,0.0,336,146.25778,146.43760565199995,149.001,Moderate (Filtration required)
7.81,771.0,0.0,158.6,78.0,40.0,175.0,84.0,21.6,46.0,7.1,0.31,489,216.99794,207.14520458600006,229.62300000000002,Poor (Needs purification before use)
7.86,2723.0,0.0,378.0,581.0,179.0,4.7,144.0,148.0,174.0,3.2,1.6,1824,697.94134,724.3524644639998,819.558,Highly Polluted (Not for any domestic use)
8.48,660.0,30.0,172.0,53.0,28.0,29.1,42.0,13.0,37.0,51.5,0.22,608,197.56202,199.89850140000016,262.244,Poor (Needs purification before use)
7.75,2070.0,0.0,683.0,284.0,134.0,8.1,164.0,68.0,186.0,13.0,1.4,1276,541.3098,539.9905005999999,582.325,Highly Polluted (Not for any domestic use)
7.78,1234.0,0.0,360.0,124.1,87.7,47.4,50.1,72.9,84.3,10.0,0.44,546,288.20902,283.6208813999999,257.634,Poor (Needs purification before use)
7.47,1080.0,0.0,451.5,49.6,43.2,47.8,66.0,68.5,30.9,4.4,1.37,1181,355.37918,357.0169230000002,514.991,Highly Polluted (Not for any domestic use)
8.19,389.9,0.0,122.1,63.81,43.09,3.53,20.02,15.77,38.14,3.18,0.43,233,103.97092,100.21572443999997,106.39399999999999,Moderate (Filtration required)
7.8,1160.0,0.0,331.0,134.0,40.0,85.0,82.0,55.0,65.0,5.3,0.18,754,307.847,307.17860167799995,345.04,"Very Poor (Not suitable for drinking, high risk)"
7.74,395.4,0.0,207.5,17.7,12.5,29.3,46.1,19.4,11.6,11.0,0.36,703,175.91156,173.01836959999997,303.17199999999997,"Very Poor (Not suitable for drinking, high risk)"
7.7,989.0,0.0,200.0,172.0,36.0,41.0,62.0,27.0,100.0,3.7,0.39,593,250.534,252.49966234400003,266.21000000000004,Poor (Needs purification before use)
8.02,523.0,0.0,244.0,43.0,16.0,1.6,34.0,16.0,52.0,7.3,1.04,313,137.77288,138.07391568999995,142.606,Moderate (Filtration required)
8.23,465.0,0.0,245.0,17.75,12.04,2.11,14.0,15.795,56.0,8.0,0.0,302,126.276985,126.98597337700002,132.2075,Moderate (Filtration required)
8.0,525.0,0.0,214.0,45.0,6.0,8.0,78.0,15.0,20.0,2.4,0.27,341,139.7704,139.300358867,166.70000000000002,Moderate (Filtration required)
7.7,2100.0,0.0,646.8,148.9,247.0,14.2,40.0,60.8,330.4,8.5,1.8,1181,530.6376,526.7799011999999,504.95000000000005,Highly Polluted (Not for any domestic use)
7.7,5399.0,0.0,134.0,1560.0,313.0,62.0,116.0,173.0,475.0,547.0,0.28,3617,1392.5368,1385.6749984,1535.8100000000002,Extremely Polluted (Only suitable for industrial use)
8.374,359.0,24.0,79.0,25.0,22.0,10.0,32.0,11.0,21.0,3.4,0.05,233,91.568036,95.13342790799997,108.6122,Moderate (Filtration required)
7.1,720.0,0.0,79.0,150.0,12.0,70.0,56.0,16.0,65.0,5.0,0.08,468,188.5024,189.33401654299996,210.93,Poor (Needs purification before use)
7.74,2900.0,0.0,683.4,439.6,255.0,43.9,56.0,43.7,506.1,5.0,1.11,1181,665.36806,663.2470369999999,504.63200000000006,Highly Polluted (Not for any domestic use)
7.4,622.0,0.0,137.0,106.0,33.0,38.0,65.0,9.0,41.0,2.49,1.2,404,165.99404,165.983554018,186.02,Moderate (Filtration required)
7.8,1151.0,0.0,146.0,192.0,68.0,127.0,108.0,36.0,78.0,4.1,0.15,771,309.0768,309.6093541280002,353.94,"Very Poor (Not suitable for drinking, high risk)"
7.91,1770.0,0.0,439.0,269.0,120.0,7.3,38.0,34.0,272.0,42.0,0.25,1050,449.21164,452.8176305769997,443.973,"Severely Contaminated (Avoid drinking, high health risk)"
7.24,1130.0,0.0,366.0,164.0,13.0,50.0,58.0,66.0,50.0,3.2,0.71,678,289.03456,291.35760034399993,310.572,"Very Poor (Not suitable for drinking, high risk)"
8.1,560.0,0.0,275.0,39.0,15.0,2.0,50.0,30.0,23.0,1.0,0.23,336,146.8684,146.1806556999999,160.83,Moderate (Filtration required)
